Price,year,month,day
2.33,2012,6,7
3.03,2017,5,9
3.11,2017,5,4
3.82,2009,10,14
5.68,2004,4,15
4.4,2013,12,12
2.28,2002,2,1
3.6,2016,12,23
5.64,2004,10,15
2.99,2012,7,19
2.52,1997,12,1
3.37,2013,11,5
2.98,1999,10,25
4.62,2003,11,14
2.01,2015,12,8
2.86,1997,9,3
2.24,1997,12,23
1.9,2001,9,27
2.17,1998,5,19
5.95,2000,11,15
3.75,2000,7,31
2.25,1999,7,21
2.29,1999,5,28
4.48,2003,11,7
1.63,2015,12,24
3.84,2011,2,18
3.53,2011,11,30
9.84,2008,3,14
4.54,2011,1,3
5.51,2010,1,19
9.91,2001,1,10
3.05,2011,12,15
3.32,2015,1,15
1.96,1998,12,22
5.79,2006,5,18
5.7,2009,1,13
2.17,2019,12,9
2.23,1997,5,30
1.93,2016,2,17
2.26,2016,1,26
2.21,2002,2,8
2.73,1999,8,16
4.68,2014,6,18
6.19,2004,7,8
3.22,2017,4,5
2.91,2017,10,26
2.84,2015,8,11
2.89,2017,8,10
4.1,2011,5,12
4.51,2018,12,7
2.84,1997,10,14
6.77,2007,6,25
2.56,1997,8,12
2.29,1997,12,16
6.8,2006,5,11
1.85,2020,7,27
4.22,2010,5,27
2.49,2012,1,18
6.72,2006,11,6
7.59,2008,1,8
3.24,1997,9,26
2.75,2018,5,11
4.33,2011,4,20
1.97,1997,3,14
4.04,2010,4,12
7.15,2007,8,13
5.12,2004,9,13
6.47,2010,1,6
2.32,1997,6,24
1.82,1999,1,22
4.05,2009,5,15
6.63,2005,6,2
6.58,2008,10,8
8.66,2008,8,5
2.36,2019,8,29
3.16,2017,11,8
4.12,2010,5,21
3.98,2001,6,4
2.39,1999,6,9
3.77,2013,10,21
7.54,2007,4,18
2.8,2018,8,1
1.8,1999,2,3
2.69,1999,8,6
8.36,2006,1,30
3.08,2015,1,7
3.01,2015,5,18
2.94,2017,10,30
3.98,2014,9,10
2.19,2019,8,15
6.15,2007,1,9
7.76,2008,9,16
2.26,2019,10,25
3.02,2001,7,23
1.8,2001,9,28
3.35,2012,12,10
3.5,2002,4,18
2.38,2019,7,18
2.84,2000,1,28
7.61,2006,12,7
12.58,2005,12,1
4.23,2011,4,18
2.59,2019,5,31
2.35,1998,4,23
4,2011,8,5
4.8,2000,8,22
2.95,2019,1,10
2.38,1997,8,6
4.68,2003,7,30
2.54,2019,7,12
2.68,2017,3,6
1.8,1997,3,24
7.4,2004,11,4
2.49,2019,9,5
1.62,2016,2,29
1.94,1999,3,10
2.96,2015,1,23
4.02,2014,8,27
2.71,1999,9,1
1.78,1998,9,9
2.6,2015,9,25
2.79,2016,8,2
4.81,2014,2,26
2.4,2002,1,17
7.23,2007,2,28
2.79,2000,3,13
2.32,1999,4,27
4.77,2014,5,8
5.92,2004,7,15
2.66,2019,11,13
3.4,2010,10,12
2.51,1997,11,25
6.92,2003,12,19
3.1,2018,9,26
5.64,2004,10,18
2.28,1998,3,20
3.19,2013,1,3
6.43,2004,5,14
2.29,2019,10,8
3.84,2011,9,20
2.29,1998,3,26
7.08,2005,6,29
3.23,2013,2,19
